Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
111,#06 HELIO C.,456.762500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
112,#12 WILL POWER,464.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
114,#14 SANTINO F.,458.912500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
115,#15 GRAHAM RAHAL,468.887500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
117,#17 KYLE LARSON,456.137500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
118,#18 RINUS VEEKAY,469.937500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
120,#20 ALEXANDER R.,457.675000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
121,#21 CHRIS R.,465.962500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
123,#23 RYAN H.REAY,458.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
124,#24 JACK HARVEY,466.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
126,#26 COLTON HERTA,463.212500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
127,#27 KYLE K.,468.887500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
128,#28 MARCUS E.,469.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
130,#30 DEV D.,469.262500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
145,#45 LOUIS FOSTER,467.837500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
151,#51 JACOB ABEL,464.937500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
160,#60 FELIX R.,454.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
166,#66 MARCUS A.,461.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
175,#75 TAKUMA SATO,457.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
176,#76 CONOR DALY,455.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
177,#77 STINGRAYROBB,464.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
183,#83 ROB S.,461.337500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
190,#90 CALLUM ILOTT,466.162500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
198,#98 MARCO A.,463.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
203,#3  Josh G.,458.962500,off,0.000000,DTCS,88.5,88.5,412,NN,412,Tone->Tone,Auto,5.00,,5.0W,,,,,
206,#6 Chris R.,455.637500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
207,#6 Chris B.,453.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
210,#10 Reece G.,463.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
214,#14 Josh Pearson,458.637500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
221,#21 Kryffin S.,452.575000,off,0.000000,DTCS,88.5,88.5,71,NN,71,Tone->Tone,Auto,5.00,,5.0W,,,,,
226,#26 Loius F.,469.537500,off,0.000000,DTCS,88.5,88.5,606,NN,606,Tone->Tone,Auto,5.00,,5.0W,,,,,
227,#27 Hunter McE.,462.912500,off,0.000000,DTCS,88.5,88.5,343,NN,343,Tone->Tone,Auto,5.00,,5.0W,,,,,
228,#28 Jamie C.,464.537500,off,0.000000,DTCS,88.5,88.5,612,NN,612,Tone->Tone,Auto,5.00,,5.0W,,,,,
229,#29 James Roe Jr,469.837500,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,Auto,5.00,,5.0W,,,,,
239,#39 Nolan S.,460.387500,off,0.000000,DTCS,88.5,88.5,306,NN,306,Tone->Tone,Auto,5.00,,5.0W,,,,,
247,#47 Enaam A.,451.637500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
251,#51 Jacob A.,459.450000,off,0.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,Auto,5.00,,5.0W,,,,,
257,#57 Colin K.,469.887500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
268,#68 Danial F.,466.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
275,#75 Matteo N.,462.012500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
276,#76 Rasmus L.,464.012500,off,0.000000,DTCS,88.5,88.5,172,NN,172,Tone->Tone,Auto,5.00,,5.0W,,,,,
298,#98 Jagger J.,453.412500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
