Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
250,IMSA R/C,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,Auto,5.00,,5.0W,,,,,
251,1 BRYAN HERTA,462.262500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
252,1-2 BRYAN HERTA,452.262500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
253,5 KMW W/ TMR,455.712500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
254,5-2 KMW W/ TMR,462.762500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
255,10 ROCKWELL,457.637500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
256,10-2 ROCKWELL,463.187500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
257,15 ROCKWELL,469.725000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
258,15-2 ROCKWELL,468.187500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
259,17 UNITRONIC/JDC,461.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
260,33 BRYAN HERTA,463.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
261,33-2 BRYAN HERTA,468.512500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
262,37 LA HONDA,460.287500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
263,61 ROADSHAGGER,462.470000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,Auto,5.00,,5.0W,,,,,
